American Samoa,Chile,USD,2400,2,,
Anguilla,Chile,USD,2400,2,,
Antigua and Barbuda,Chile,USD,2400,2,,
Argentina,Chile,USD,2400,2,,
Aruba,Chile,USD,2400,2,,
Bahamas,Chile,USD,2400,2,,
Barbados,Chile,USD,2400,2,,
Bermuda,Chile,USD,2400,2,,
Bolivia,Chile,USD,2400,2,,
"Bonaire,  Saint Eustatius And Saba",Chile,USD,2400,2,,
Brazil,Chile,USD,2400,2,,
British Virgin Islands,Chile,USD,2400,2,,
Canada,Chile,USD,2400,2,,
Cayman Islands,Chile,USD,2400,2,,
Chile,Chile,USD,2400,2,,
Colombia,Chile,USD,2400,2,,
Cook Islands,Chile,USD,2400,2,,
Costa Rica,Chile,USD,2400,2,,
Cuba,Chile,USD,2400,2,,
Curacao,Chile,USD,2400,2,,
Dominica,Chile,USD,2400,2,,
Dominican Republic,Chile,USD,2400,2,,
Ecuador,Chile,USD,2400,2,,
El Salvador,Chile,USD,2400,2,,
Falkland Islands (Malvinas),Chile,USD,2400,2,,
French Guiana,Chile,USD,2400,2,,
French Polynesia,Chile,USD,2400,2,,
Grenada,Chile,USD,2400,2,,
Guadeloupe,Chile,USD,2400,2,,
Guam,Chile,USD,2490,2,,
Guatemala,Chile,USD,2400,2,,
Guyana,Chile,USD,2400,2,,
Haiti,Chile,USD,2400,2,,
Honduras,Chile,USD,2400,2,,
Jamaica,Chile,USD,2400,2,,
Kiribati,Chile,USD,2400,2,,
Martinique,Chile,USD,2400,2,,
Mexico,Chile,USD,2400,2,,
Montserrat,Chile,USD,2400,2,,
Nicaragua,Chile,USD,2400,2,,
Niue,Chile,USD,2400,2,,
Panama,Chile,USD,2400,2,,
Paraguay,Chile,USD,2400,2,,
Pitcairn,Chile,USD,2400,2,,
Puerto Rico,Chile,USD,2400,2,,
Saint Barthelemy,Chile,USD,2400,2,,
Saint Kitts and Nevis,Chile,USD,2400,2,,
Saint Lucia,Chile,USD,2400,2,,
Saint Martin (French),Chile,USD,2400,2,,
Saint Pierre and Miquelon,Chile,USD,2400,2,,
Saint Vincent and the Grenadines,Chile,USD,2400,2,,
Samoa,Chile,USD,2400,2,,
Sint Maarten (Dutch),Chile,USD,2400,2,,
South Georgia and the South Sandwich Islands,Chile,USD,2400,2,,
Suriname,Chile,USD,2400,2,,
Tokelau,Chile,USD,2400,2,,
Trinidad and Tobago,Chile,USD,2400,2,,
Turks and Caicos Islands,Chile,USD,2400,2,,
U.S. Virgin Islands,Chile,USD,2400,2,,
United States,Chile,USD,2400,2,,
United States Minor Outlying Islands,Chile,USD,2400,2,,
Uruguay,Chile,USD,2400,2,,
Venezuela,Chile,USD,2400,2,,
American Samoa,Germany,USD,2400,2,,
Andorra,Germany,Euro,790,3,,
Anguilla,Germany,USD,2400,2,,
Antigua and Barbuda,Germany,USD,2400,2,,
Argentina,Germany,USD,2400,2,,
Aruba,Germany,USD,2400,2,,
Australia,Germany,USD,2500,1,,
Bahamas,Germany,USD,2400,2,,
Barbados,Germany,USD,2400,2,,
Belgium,Germany,Euro,790,3,,
Bermuda,Germany,USD,2400,2,,
Bolivia,Germany,USD,2400,2,,
"Bonaire,  Saint Eustatius And Saba",Germany,USD,2400,2,,
Brazil,Germany,USD,2400,2,,
